#stno	yyyymmdd	TX01	WD01	WD02	SS02	GR01
467410	20030101	16.7	2.6	10	47.6	11.74
467410	20030102	18.6	2.5	20	71	13.43
467410	20030103	16.2	5.6	10	22.4	6.71
467410	20030104	15.6	3.5	10	85.8	14.73
467410	20030105	14.1	4.6	10	81.1	14.09
467410	20030106	14.9	3.1	10	27.9	9.21
467410	20030107	15.6	6.4	360	54.9	12.3
467410	20030108	16.3	4.4	10	85.6	15.29
467410	20030109	17.9	3.8	360	26.9	10.18
467410	20030110	17	5.9	10	77.1	14.65
467410	20030111	16.2	3.9	10	72.4	13.94
467410	20030112	16.7	2.9	10	43.6	11.25
467410	20030113	17.8	3.4	10	57.4	13.02
467410	20030114	17.8	3.7	10	72.2	14.2
467410	20030115	17.1	4.3	10	49	11.02
467410	20030116	17.2	3.6	10	56.3	12.69
467410	20030117	18.5	2.8	10	71.9	13.7
467410	20030118	18.4	2.8	10	23.9	10.35
467410	20030119	19	4.3	360	77.3	14.75
467410	20030120	17.8	2.9	10	27.6	9.47
467410	20030121	19.4	2.2	10	25.7	9.93
467410	20030122	17.3	4.3	10	0	2.59
467410	20030123	16.5	5.1	360	70.5	13.73
467410	20030124	16.8	2.4	10	75.9	14.55
467410	20030125	19.7	2.5	20	80.4	15.03
467410	20030126	22.3	2.9	200	88.5	15.89
467410	20030127	18.1	5.8	10	61.9	13.82
467410	20030128	14.7	4	10	59.1	13.73
467410	20030129	16	3.3	10	84.5	15.8
467410	20030130	17.8	2.6	20	85.2	15.93
467410	20030131	20.3	2.1	20	64.3	14.5
467410	20030201	19.8	4.5	10	83.2	16.02
467410	20030202	16.1	4.5	360	72.2	15.15
467410	20030203	16.1	3	360	4.5	6.99
467410	20030204	16	5.3	360	43.2	13.37
467410	20030205	14.8	3.8	10	13.5	7.74
467410	20030206	15.8	3.4	10	76.3	15.69
467410	20030207	18.2	2.5	10	25.1	11.83
467410	20030208	19.1	3.1	20	3.6	5.49
467410	20030209	20.6	2.4	20	67.8	16.64
467410	20030210	21.5	2.3	20	78.4	17.7
467410	20030211	19.4	4.9	10	73.8	16.51
467410	20030212	17.4	5	10	65.7	16.54
467410	20030213	17.9	4.4	10	66.5	16.58
467410	20030214	20.2	3.6	10	79.7	17.5
467410	20030215	23.1	4	200	49.5	16.03
467410	20030216	23.4	3.6	360	66.2	16.79
467410	20030217	20.1	3.4	10	23.8	11.82
467410	20030218	20.8	3.5	10	58	16.4
467410	20030219	20.1	4.6	10	56.1	16.2
467410	20030220	19.1	3.3	10	80.6	18.36
467410	20030221	20.9	2.5	20	71.7	17.18
467410	20030222	23	1.6	100	66.3	16.57
467410	20030223	23.6	2.3	90	88.8	19.15
467410	20030224	21.6	4.1	360	56.5	16.29
467410	20030225	20.6	3.8	10	43.4	15.29
467410	20030226	23.2	3.1	10	76.2	18.55
467410	20030227	23.7	3.5	360	56.2	16.75
467410	20030228	22.7	2.9	10	45.7	16.56
467410	20030301	24	3	360	86.1	19.07
467410	20030302	23.3	2.3	10	52.4	14.85
467410	20030303	24.6	2.8	250	77.2	19.64
467410	20030304	20.1	3.7	360	40.3	12.48
467410	20030305	23.3	2.1	150	33.3	12.93
467410	20030306	24.9	2.6	150	32.4	11.08
467410	20030307	16.8	5.7	10	6	8.91
467410	20030308	15.4	3.2	10	5.1	7.92
467410	20030309	16.9	2.8	360	2.5	6.29
467410	20030310	16.3	4.5	10	15.2	11.3
467410	20030311	18.4	2.7	350	84.5	20.92
467410	20030312	19.9	3.9	10	70	19.86
467410	20030313	20.5	4.1	360	86.7	20.99
467410	20030314	19.6	3.1	10	43.7	15.52
467410	20030315	23	2.7	20	74.6	20.65
467410	20030316	25.1	3	140	67.8	20.39
467410	20030317	24.5	2.7	130	86.1	20.89
467410	20030318	21	4.4	360	33.4	16.18
467410	20030319	18.4	4.3	360	28.3	15.34
467410	20030320	16.9	4.5	10	4.2	5.62
467410	20030321	18.8	4.6	10	47.3	18.82
467410	20030322	19	3.2	10	2.5	10.5
467410	20030323	20	3.5	10	36.3	16.48
467410	20030324	19.6	3.7	10	0	5.1
467410	20030325	21.2	3	10	31.3	16.47
467410	20030326	23.1	1.9	10	47.6	18
467410	20030327	24.7	2.8	20	77.9	21.85
467410	20030328	22.4	3.9	360	63.8	20.07
467410	20030329	22.3	3	360	44.9	18.93
467410	20030330	24.3	2	20	72.6	19.72
467410	20030331	25.9	2.7	220	68.4	20.93
467410	20030401	25.6	2.3	250	23.6	15.32
467410	20030402	25.8	2.2	170	6.5	12.25
467410	20030403	25.7	2.7	210	0	7.56
467410	20030404	23.5	3.3	360	2.4	8.18
467410	20030405	20	4	10	0.8	11.4
467410	20030406	21.9	1.8	360	7.2	7.82
467410	20030407	24.7	2.4	180	12.1	10.14
467410	20030408	23.3	2.2	20	4	4.44
467410	20030409	21.6	2.7	10	0	2.89
467410	20030410	23.2	2.4	10	47.2	17.4
467410	20030411	25.4	2.4	190	31.1	14.41
467410	20030412	26.5	1.7	250	65.3	20.15
467410	20030413	26.8	1.8	250	85.9	22.52
467410	20030414	25.6	3.2	10	31	17.13
467410	20030415	22.7	3.1	10	4	9.39
467410	20030416	25.5	2.3	10	28.5	14.76
467410	20030417	26.4	2.7	10	25.3	15.37
467410	20030418	26.6	2.4	350	42.6	17.03
467410	20030419	26.9	2.4	320	66.9	21.21
467410	20030420	27.6	4.2	360	66	21.32
467410	20030421	26.5	4.4	350	37.6	18.76
467410	20030422	25.6	3.5	350	22.7	16.27
467410	20030423	26.5	2	10	52.4	21.29
467410	20030424	27.4	2.5	330	50.7	20.48
467410	20030425	27	2.4	250	67.8	22.05
467410	20030426	27.9	3.2	10	53.7	20.49
467410	20030427	27	3	10	55.2	20.88
467410	20030428	26.9	2.4	360	46.5	20.58
467410	20030429	27.5	2.7	10	79	23.95
467410	20030430	26.4	4.3	10	47.9	19.4
467410	20030501	25	3.2	360	53.3	20.91
467410	20030502	26.6	2.9	20	65.5	22.05
467410	20030503	27.3	1.4	30	13.9	13.64
467410	20030504	27.9	3.8	200	30.8	17.82
467410	20030505	27	2.8	160	0.8	9.68
467410	20030506	28.6	3.6	190	81.3	23.42
467410	20030507	29	3.1	240	93.4	26.46
467410	20030508	29.2	3.2	350	81	23.76
467410	20030509	27.7	2.6	360	61.9	22.18
467410	20030510	26.9	2.2	10	63.3	22.66
467410	20030511	28	2.7	340	37.3	16.15
467410	20030512	28.6	2.6	360	72.3	24.39
467410	20030513	28.9	2	290	75.2	25.04
467410	20030514	28.8	2.8	220	64.5	23.42
467410	20030515	28.2	2.2	260	18.9	15.12
467410	20030516	28.4	2.5	130	34.1	18.6
467410	20030517	27.4	2.3	180	0	4.76
467410	20030518	26	2.5	360	0	7.16
467410	20030519	26.7	2.7	10	21.1	18.25
467410	20030520	28.1	2.6	320	64.1	24.14
467410	20030521	27.6	2.4	330	65.5	23.39
467410	20030522	27.9	3.3	320	54.2	19.96
467410	20030523	27.9	3.1	320	69.9	22.65
467410	20030524	29	2.5	310	78.8	24.53
467410	20030525	29.3	3.6	10	75.7	23.18
467410	20030526	28.7	3.1	360	72.7	22.38
467410	20030527	26.6	3.6	10	19.5	16.88
467410	20030528	26.7	3.7	360	36.7	18.93
467410	20030529	27.5	3.3	10	42.6	19.69
467410	20030530	28.5	3.1	360	76.9	22.63
467410	20030531	29	2.6	360	66.4	21.07
467410	20030601	28.4	2.2	300	67.9	22.84
467410	20030602	27.9	2.7	330	0	13.83
467410	20030603	27.3	3.1	350	59.6	22.83
467410	20030604	27.8	2.8	320	55.8	20.61
467410	20030605	27.9	2.1	240	62.5	22.1
467410	20030606	28.2	3.5	190	26.8	18.39
467410	20030607	24.9	2.9	170	0	0.45
467410	20030608	26.9	3.1	200	1.5	12.33
467410	20030609	27.7	2.1	150	31.9	18.1
467410	20030610	27.3	3	170	5.9	11.61
467410	20030611	27.7	4.3	180	23	16.28
467410	20030612	26.9	4.1	190	0.7	6.7
467410	20030613	26.5	3.1	130	4.4	11.33
467410	20030614	28.7	2.6	240	75.6	23.68
467410	20030615	29	2.9	320	63.7	21.14
467410	20030616	28.4	3.2	350	40.7	19.16
467410	20030617	28.4	3.7	350	28.9	16.91
467410	20030618	26.8	3.9	350	8.1	10.82
467410	20030619	28.7	3.7	130	77.8	23.64
467410	20030620	27	4.3	180	14.8	9.3
467410	20030621	28.8	5.4	200	66.6	24.17
467410	20030622	29.2	4.1	200	74	23.4
467410	20030623	29.1	3.8	190	82.2	26.4
467410	20030624	29	2.7	180	67.4	24.29
467410	20030625	29.1	3.7	190	36.3	17.52
467410	20030626	26.6	3.9	180	0	4.73
467410	20030627	29.4	4	180	83.7	27.01
467410	20030628	29.5	3.3	200	91.1	26.13
467410	20030629	29.5	2.3	190	86	26.14
467410	20030630	29.7	2.9	260	87.5	24.83
467410	20030701	29.9	3.1	200	86	25.11
467410	20030702	29.8	3.5	190	81.6	25.65
467410	20030703	29.6	3.1	190	76.5	25.18
467410	20030704	29.9	3.2	210	91.3	26.7
467410	20030705	30.2	3.9	190	84.7	25.33
467410	20030706	30	3.3	240	87	25.63
467410	20030707	30.2	2.5	250	83.3	24.93
467410	20030708	29.1	2.6	130	36.5	17.79
467410	20030709	30.4	3.4	190	68.5	22.48
467410	20030710	30.6	4	200	87.9	26.61
467410	20030711	30.2	2.7	190	58.1	18.82
467410	20030712	30.5	2.7	260	74.6	24.93
467410	20030713	30.6	2.5	240	73.2	23.08
467410	20030714	30.7	2.6	240	71	22.46
467410	20030715	31.1	3.1	270	59.1	21.51
467410	20030716	31	2.7	290	61.4	21.09
467410	20030717	30.6	3.3	190	44.2	18.22
